adu,destinacion,num_item,fecha,nombre_importador,m,un,cant_unidad_medida,fob_dolar,fob_total,div,pai_12,pai_13,pos_ncm,cod,monto
001,22001IC04245954U,         1,202211,MARY KAY COSMETICOS S A       ,8,01,              6120,  42315.52,  42315.52,DOL,212,212,3304.99.90,011,   1490.18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC04245954U,         1,202211,MARY KAY COSMETICOS S A       ,8,01,              6120,  42315.52,  42315.52,DOL,212,212,3304.99.90,457,     23.97                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC04245954U,         1,202211,MARY KAY COSMETICOS S A       ,8,01,              6120,  42315.52,  42315.52,DOL,212,212,3304.99.90,464,     19.39                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC04245959C,         1,202211,MARY KAY COSMETICOS S A       ,8,01,           5855.35,  28095.14,  28095.14,DOL,212,212,3304.99.90,451,      29.6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC04245959C,         1,202211,MARY KAY COSMETICOS S A       ,8,01,           5855.35,  28095.14,  28095.14,DOL,212,212,3304.99.90,468,     26.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC04245959C,         1,202211,MARY KAY COSMETICOS S A       ,8,01,           5855.35,  28095.14,  28095.14,DOL,212,212,3304.99.90,470,     48.47                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC05027594T,         1,202211,MARY KAY COSMETICOS S A       ,8,01,            1999.6,  43839.43,  98530.54,DOL,212,212,3304.99.90,464,     19.57                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC05027594T,         1,202211,MARY KAY COSMETICOS S A       ,8,01,            1999.6,  43839.43,  98530.54,DOL,212,212,3304.99.90,469,    104.89                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
001,22001IC05027594T,         1,202211,MARY KAY COSMETICOS S A       ,8,01,            1999.6,  43839.43,  98530.54,DOL,212,212,3304.99.90,471,     39.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
073,22073IC04131669D,         1,202211,PANALAB S A ARGENTINA         ,2,11,               387,  25853.97,  25853.97,DOL,417,417,3304.99.90,463,      3.56                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
